name,exp_id,run_id,Accuracy,AbsLoss,SignedLoss,A_Value_Variance,A_Value_Ex,A_Value_Smooth,DDPG_Version,buffer.m,env.U_2,ddpg.tau_decay,env.b,env.mu,env.sigma,general_settings.max_episodes,ddpg.noise_scale,env.dt
More Multiple Env and Tau ,873203898913114948,6df5b16dbf834d238dd8abe9a03f46dc,0.124458019,0.03207306,0.03207306,0.000138255,0.036632235,0.068705295,ShockBuffer,8,np.log,linear,-0.296120169,0.007758258,0.46020401,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,6e32dc44d0fa47788035d3b76a05cfc0,0.682315944,0.059799965,0.059799965,0.000119507,0.188237224,0.248037189,DDPG,8,np.log,linear,-0.039207769,0.157137442,0.913665201,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,6e534875e4594ad288910e2f06cb2345,0.420876475,0.252528333,0.252528333,0.000847379,0.436052625,0.688580959,DDPG,8,np.log,none,-1.386595911,0.062973361,0.380022215,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,6ee379a7daf24b1386c7f499eacc515a,0.864112879,0.107738188,-0.107738188,3.14502E-05,0.792850622,0.685112433,DDPG,8,np.log,linear,-2.704308753,0.740480236,0.966409188,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,6f1bffe8fbf34fce91d418205a5bf28d,0.573751178,0.042164527,0.042164527,8.34518E-05,0.098919984,0.141084511,DDPG,8,np.log,linear,0.364107826,0.071040428,0.847443523,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,6f522210852b4c07970247689ca486f1,0.91705144,0.032943179,0.032943179,7.72967E-05,0.397151909,0.430095088,DDPG,8,np.log,linear,-0.349006012,0.338478581,0.923181874,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,6f7badee8c5b415db9589f704876d03f,0.587347341,0.006942641,0.006942641,1.55976E-05,0.016824417,0.023767058,ShockBuffer,8,np.log,linear,0.319806293,0.015821424,0.969734322,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,6fb2af83602b48429379b7d79ba199da,0.911818128,0.036773066,-0.036773066,1.20424E-05,0.417013898,0.380240832,DDPG,8,np.log,linear,-3.221905411,0.286763426,0.829252168,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,6fb9a1515e7e4ec0bbaff3845397479f,0.990911046,0.006326246,0.006326246,4.7502E-05,0.696036718,0.702362964,ShockBuffer,8,np.log,linear,-4.665089458,0.12329894,0.420885143,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7003d23d29324d7992752f2f63b94248,0.987102843,0.003708868,-0.003708868,0.000326957,0.287572541,0.283863673,ShockBuffer,8,np.log,none,-9.286282312,0.276433619,0.980441583,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,707fbbd0248b4ec8a44d597902e3faab,0.948872065,0.021321059,-0.021321059,0.000121325,0.417013898,0.395692839,DDPG,8,np.log,none,-3.221905411,0.286763426,0.829252168,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,70c75c33d618493f8d4a2f1dbc80fbf9,0.92560884,0.009975163,0.009975163,6.77344E-05,0.134090701,0.144065863,DDPG,8,np.log,linear,0.841395272,0.102735175,0.875306699,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,71770b531c384ceea581702a4144cbcb,0.808581378,0.058555456,-0.058555456,4.53092E-05,0.30590261,0.247347154,DDPG,8,np.log,none,-9.931007754,0.192059844,0.792367574,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,720d7fd4332543d8b7bcd472db6493d0,0.737117292,0.248738121,0.248738121,0.1134455,0.946194303,1.194932423,DDPG,8,np.log,linear,-9.321720206,0.265618053,0.529832543,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7260f926add44eda9cc8c2a047719195,0.784931829,0.031274989,-0.031274989,3.13977E-05,0.145418956,0.114143967,DDPG,8,np.log,linear,-8.782733534,0.030445388,0.457562311,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,72a79c7903f044479b3e8ac3e5560e6f,0.715695864,0.052344003,-0.052344003,0.00019794,0.184112702,0.131768699,DDPG,8,np.log,none,-5.09001474,0.037326222,0.45026184,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,72d4de05db6c4e6d935ca78bd0cfd4e4,0.987655249,0.008290166,-0.008290166,0.000901993,0.671553939,0.663263773,ShockBuffer,8,np.log,none,-8.136056185,0.598956852,0.944402914,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,730aab782b3043259f151b864a106382,0.988773796,0.009088378,-0.009088378,0.001472455,0.80956821,0.800479832,DDPG,8,np.log,none,-6.753281771,0.253349008,0.559413421,10000,1,0.2
